[2025-10-29 14:30:06.228] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.b86f3d91-84b9-446e-9ae4-0e2f2e9d4f8f.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.245] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:06.245] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.245] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.e0b2cc25-bb25-4e55-bdbd-2e318fb7c23d.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.246] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:06.246] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.247] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.f3731977-b460-4513-af69-079790ae4552.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.384] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:06.384] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:06.384] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.975cb2da-8077-4f5f-a3a3-f79a072c13f9.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:07.807] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:07.808] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:07.808] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.f1088277-c082-4d0a-87f7-e34aa6b053aa.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:08.501] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:08.501] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:08.501] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.a4e58b9e-5ee7-4617-91b5-80334246eb51.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:08.686] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:08.687] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:08.687] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.4d4afb1c-e10f-4330-8b39-0894bd79f79a.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:09.399] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:09.400] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:09.400] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.216886ec-46c2-4c6c-9b1e-799fefe4aa58.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
